iter	Passed	Remaining
0	167	83380
1	174	43558
2	181	30148
3	190	23608
4	198	19615
5	205	16912
6	212	14943
7	220	13545
8	227	12437
9	236	11569
10	242	10801
11	250	10191
12	258	9695
13	268	9319
14	275	8899
15	281	8521
16	287	8180
17	295	7919
18	303	7674
19	312	7501
20	321	7322
21	328	7133
22	335	6952
23	342	6790
24	350	6659
25	359	6552
26	366	6415
27	378	6380
28	384	6251
29	391	6139
30	398	6024
31	405	5927
32	411	5817
33	420	5761
34	427	5674
35	435	5606
36	442	5532
37	449	5463
38	456	5395
39	464	5342
40	470	5267
41	476	5198
42	482	5132
43	488	5065
44	497	5031
45	504	4979
46	512	4938
47	519	4891
48	526	4849
49	533	4803
50	540	4761
51	547	4715
52	556	4690
53	563	4655
54	573	4636
55	581	4606
56	587	4566
57	593	4523
58	601	4496
59	607	4457
60	615	4432
61	622	4399
62	630	4370
63	636	4338
64	643	4304
65	650	4279
66	656	4244
67	663	4218
68	670	4186
69	676	4156
70	682	4123
71	688	4092
72	696	4071
73	702	4041
74	708	4017
75	716	3996
76	724	3980
77	730	3953
78	738	3936
79	744	3908
80	752	3892
81	759	3869
82	765	3846
83	771	3822
84	778	3803
85	786	3784
86	792	3760
87	799	3741
88	805	3717
89	812	3702
90	819	3684
91	826	3664
92	833	3645
93	839	3624
94	846	3607
95	852	3588
96	859	3571
97	868	3563
98	881	3571
99	888	3552
100	895	3535
101	901	3518
102	908	3502
103	913	3480
104	920	3464
105	927	3446
106	934	3431
107	939	3411
108	945	3393
109	952	3377
110	958	3360
111	965	3345
112	971	3328
113	978	3312
114	984	3297
115	991	3281
116	997	3266
117	1003	3249
118	1010	3236
119	1017	3221
120	1023	3204
121	1032	3197
122	1038	3181
123	1044	3166
124	1051	3153
125	1059	3146
126	1067	3134
127	1074	3122
128	1081	3110
129	1088	3098
130	1094	3084
131	1101	3069
132	1107	3056
133	1113	3040
134	1121	3031
135	1127	3017
136	1135	3007
137	1140	2992
138	1146	2978
139	1152	2964
140	1158	2949
141	1166	2940
142	1172	2927
143	1179	2916
